,open,High,Low,Close,Volume
2024-04-30,166.4900,166.7600,165.2605,166.2000,6011634
2024-05-01,165.6900,166.2700,164.3000,164.4300,4030960
2024-05-02,164.3500,164.8800,162.6200,164.6900,3829853
2024-05-03,165.0000,166.6100,164.9200,165.7100,3400405
2024-05-06,166.5000,168.6700,166.3800,168.6100,4222266
2024-05-07,169.0000,169.2900,167.9400,168.3800,3155260
2024-05-08,168.0100,170.2600,167.9000,169.9000,3522011
2024-05-09,167.5000,167.5500,165.8800,166.2700,4266616
2024-05-10,167.1300,168.0700,166.3200,167.1500,2255370
2024-05-13,167.5000,168.0600,166.7600,167.5600,2414859
2024-05-14,167.8600,168.1300,166.4800,167.3600,2600967
2024-05-15,167.9400,168.3500,167.3400,168.2600,4468823
2024-05-16,168.2600,169.6300,167.7900,168.9700,3492267
2024-05-17,168.9700,169.1100,167.3300,169.0300,2956387
2024-05-20,169.0000,170.1600,168.3800,169.9200,2726261
2024-05-21,169.9400,174.9700,169.9400,173.4700,6459800
2024-05-22,173.3900,174.9900,172.7600,173.6900,3294900
2024-05-23,175.3900,175.4600,170.4350,170.6700,3341335
2024-05-24,171.4800,172.0100,170.2100,170.8900,2587829
2024-05-28,170.4400,171.0850,168.6500,169.6600,2629645
2024-05-29,168.0000,168.6300,166.2100,167.0500,4206576
2024-05-30,165.5600,166.7300,164.2300,165.6300,3852963
2024-05-31,165.7000,166.9700,163.8400,166.8500,4905002
2024-06-03,166.5400,166.7800,163.5300,165.2800,2776058
2024-06-04,164.6000,166.4000,163.8800,165.8100,2594203
2024-06-05,166.4100,167.7900,165.7800,167.3800,3049377
2024-06-06,167.3800,168.4400,166.8000,168.2000,2207263
2024-06-07,168.1800,171.3050,168.0600,170.0100,3475495
2024-06-10,169.5500,170.7600,168.8800,170.3800,3444684
2024-06-11,169.9800,170.0000,166.8100,169.3200,2951251
2024-06-12,171.3500,172.4700,168.1010,169.0000,3522698
2024-06-13,169.0100,169.5900,168.3350,169.1200,3525717
2024-06-14,168.2900,169.4700,167.2300,169.2100,2777717
2024-06-17,168.7600,169.7200,167.5000,169.5000,3239815
2024-06-18,170.0000,170.7500,168.3800,170.5500,3386442
2024-06-20,174.0800,174.2800,171.2200,173.9200,4723078
2024-06-21,173.9700,174.9600,171.4000,172.4600,10182025
2024-06-24,175.0000,178.4599,174.1500,175.0100,4864735
2024-06-25,175.1400,175.7526,171.4200,172.6000,4119267
2024-06-26,171.2800,172.6800,170.4100,171.8700,2779016
2024-06-27,171.1200,172.5000,170.4800,170.8500,2894001
2024-06-28,170.8500,173.4600,170.5300,172.9500,4193459
2024-07-01,173.4500,176.4600,173.3800,175.1000,3320961
2024-07-02,174.8400,177.4850,174.3200,177.3000,2883275
2024-07-03,177.8800,177.9800,175.1700,175.7300,1649049
2024-07-05,175.7400,176.0900,173.9500,176.0200,2085970
2024-07-08,176.4100,178.5900,176.0100,177.6400,2503038
2024-07-09,177.6000,177.7000,175.5800,176.4800,2513305
2024-07-10,176.6000,178.2200,174.4500,177.8400,3462182
2024-07-11,177.6500,179.4400,176.6200,178.3100,2807145
2024-07-12,178.5600,184.1600,178.5000,182.8300,4785565
2024-07-15,183.3800,184.9000,182.6000,182.8800,2925794
2024-07-16,184.6700,186.6000,184.5200,185.8100,3374526
2024-07-17,185.4400,187.9400,185.0700,187.4500,4225302
2024-07-18,186.6400,189.4700,185.1000,185.2200,3487808
2024-07-19,186.3300,187.0000,181.9500,183.2500,3816039
2024-07-22,183.4000,184.9700,182.8600,184.1500,2488525
2024-07-23,184.3600,185.3800,183.0100,184.1000,2180225
2024-07-24,184.1400,185.0714,183.1450,184.0200,6962071
2024-07-25,186.8000,196.2600,185.3000,191.9800,9532802
2024-07-26,190.5100,193.5700,189.6220,191.7500,4294875
